wavelength_um,radius_arcsec
0.6,0.45
0.60229605,0.45
0.6045921,0.45
0.6068882,0.45
0.6091842,0.45
0.61148024,0.45
0.61377627,0.45
0.6160723,0.45
0.6183684,0.45
0.6206644,0.45
0.62296045,0.45
0.6252565,0.45
0.62755257,0.45
0.6298486,0.45
0.63214463,0.45
0.63444066,0.45
0.6367367,0.45
0.6390328,0.45
0.6413288,0.45
0.64362484,0.45
0.6459209,0.45
0.6482169,0.45
0.650513,0.45
0.652809,0.45
0.65510505,0.45
0.6574011,0.45
0.6596971,0.45
0.6619932,0.45
0.66428924,0.45
0.66658527,0.45
0.6688813,0.45
0.6711774,0.45
0.6734734,0.45
0.67576945,0.45
0.6780655,0.45
0.6803615,0.45
0.6826576,0.45
0.68495363,0.45
0.68724966,0.45
0.6895457,0.45
0.6918417,0.45
0.6941378,0.45
0.69643384,0.45
0.6987299,0.45
0.7010259,0.45
0.70332193,0.45
0.705618,0.45
0.70791405,0.45
0.7102101,0.45
0.7125061,0.45
0.7148022,0.45
0.71709824,0.45
0.71939427,0.45
0.7216903,0.45
0.7239863,0.45
0.7262824,0.45
0.72857845,0.45
0.7308745,0.45
0.7331705,0.45
0.73546654,0.45
0.73776263,0.45
0.74005866,0.45
0.7423547,0.45
0.7446507,0.45
0.74694675,0.45
0.74924284,0.45
0.7515389,0.45
0.7538349,0.45
0.75613093,0.45
0.758427,0.45
0.76072305,0.45
0.7630191,0.45
0.7653151,0.45
0.76761115,0.45
0.76990724,0.45
0.77220327,0.45
0.7744993,0.45
0.7767953,0.45
0.77909136,0.45
0.78138745,0.45
0.7836835,0.45
0.7859795,0.45
0.78827554,0.45
0.7905716,0.45
0.79286766,0.45
0.7951637,0.45
0.7974597,0.45
0.79975575,0.45
0.80205184,0.45
0.8043479,0.45
0.8066439,0.45
0.80893993,0.45
0.81123596,0.45
0.81353205,0.45
0.8158281,0.45
0.8181241,0.45
0.82042015,0.45
0.8227162,0.45
0.82501227,0.45
0.8273083,0.45
0.8296043,0.45
0.83190036,0.45
0.8341964,0.45
0.8364925,0.45
0.8387885,0.45
0.84108454,0.45
0.8433806,0.45
0.84567666,0.45
0.8479727,0.45
0.8502687,0.45
0.85256475,0.45
0.8548608,0.45
0.8571569,0.45
0.8594529,0.45
0.86174893,0.45
0.86404496,0.45
0.866341,0.45
0.8686371,0.45
0.8709331,0.45
0.87322915,0.45
0.8755252,0.45
0.8778212,0.45
0.8801173,0.45
0.8824133,0.45
0.88470936,0.45
0.8870054,0.45
0.8893015,0.45
0.8915975,0.45
0.89389354,0.45
0.8961896,0.45
0.8984856,0.45
0.9007817,0.45
0.9030777,0.45
0.90537375,0.45
0.9076698,0.45
0.9099658,0.45
0.9122619,0.45
0.91455793,0.45
0.91685396,0.45
0.91915,0.45
0.921446,0.45
0.9237421,0.45
0.92603815,0.45
0.9283342,0.45
0.9306302,0.45
0.9329263,0.45
0.9352223,0.45
0.93751836,0.45
0.9398144,0.45
0.9421104,0.45
0.9444065,0.45
0.94670254,0.45
0.9489986,0.45
0.9512946,0.45
0.95359063,0.45
0.9558867,0.45
0.95818275,0.45
0.9604788,0.45
0.9627748,0.45
0.96507084,0.45
0.96736693,0.45
0.96966296,0.45
0.971959,0.45
0.974255,0.45
0.9765511,0.45
0.97884715,0.45
0.9811432,0.45
0.9834392,0.45
0.98573524,0.45
0.9880313,0.45
0.99032736,0.45
0.9926234,0.45
0.9949194,0.45
0.99721545,0.45
0.99951154,0.45
1.0018076,0.45
1.0041037,0.45
1.0063996,0.45
1.0086957,0.45
1.0109917,0.45
1.0132878,0.45
1.0155839,0.45
1.0178798,0.45
1.0201759,0.45
1.0224719,0.45
1.024768,0.45
1.0270641,0.45
1.02936,0.45
1.0316561,0.45
1.0339521,0.45
1.0362482,0.45
1.0385443,0.45
1.0408403,0.45
1.0431364,0.45
1.0454323,0.45
1.0477284,0.45
1.0500245,0.45
1.0523205,0.45
